# stage type: 4275 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
t1	op	t2	=> y
i32	/	u16	i32
i32	/	u32	u32
i32	/	u64	u64
i32	/	ptr	illegal
i32	/	arr	illegal
i32	/	struct	illegal
i32	/	fn	illegal
i32	/	f32	f32
i32	/	f64	f64
i32	%	void	illegal
i32	%	i8	i32
i32	%	i16	i32
i32	%	i32	i32
i32	%	i64	i64
i32	%	u8	i32
i32	%	u16	i32
i32	%	u32	u32
i32	%	u64	u64
i32	%	ptr	illegal
i32	%	arr	illegal
i32	%	struct	illegal
i32	%	fn	illegal
i32	%	f32	illegal
i32	%	f64	illegal
i32	<	void	i32
i32	<	i8	i32
i32	<	i16	i32
i32	<	i32	i32
i32	<	i64	i32
i32	<	u8	i32
i32	<	u16	i32
i32	<	u32	i32
i32	<	u64	i32
i32	<	ptr	i32
i32	<	arr	i32
i32	<	struct	i32
i32	<	fn	i32
i32	<	f32	i32
i32	<	f64	i32
i32	==	void	i32
i32	==	i8	i32
i32	==	i16	i32
i32	==	i32	i32
i32	==	i64	i32
i32	==	u8	i32
i32	==	u16	i32
i32	==	u32	i32
i32	==	u64	i32
i32	==	ptr	i32
i32	==	arr	i32
i32	==	struct	i32
i32	==	fn	i32
i32	==	f32	i32
i32	==	f64	i32
i32	=	void	i32
i32	=	i8	i32
i32	=	i16	i32
i32	=	i32	i32
i32	=	i64	i32
i32	=	u8	i32
i32	=	u16	i32
i32	=	u32	i32
i32	=	u64	i32
i32	=	ptr	i32
i32	=	arr	i32
i32	=	struct	i32
i32	=	fn	i32
i32	=	f32	i32
i32	=	f64	i32
i32	&	void	illegal
i32	&	i8	i32
i32	&	i16	i32
i32	&	i32	i32
i32	&	i64	i64
i32	&	u8	i32
i32	&	u16	i32
i32	&	u32	u32
i32	&	u64	u64
i32	&	ptr	illegal
i32	&	arr	illegal
i32	&	struct	illegal
i32	&	fn	illegal
i32	&	f32	illegal
i32	&	f64	illegal
i32	[]	void	illegal
i32	[]	i8	illegal
i32	[]	i16	illegal
i32	[]	i32	illegal
i32	[]	i64	illegal
i32	[]	u8	illegal
i32	[]	u16	illegal
i32	[]	u32	illegal
i32	[]	u64	illegal
i32	[]	ptr	illegal
i32	[]	arr	illegal
i32	[]	struct	illegal
i32	[]	fn	illegal
i32	[]	f32	illegal
i32	[]	f64	illegal
i32	.	void	illegal
i32	.	i8	illegal
i32	.	i16	illegal
i32	.	i32	illegal
i32	.	i64	illegal
i32	.	u8	illegal
i32	.	u16	illegal
i32	.	u32	illegal
i32	.	u64	illegal
i32	.	ptr	illegal
i32	.	arr	illegal
i32	.	struct	illegal
i32	.	fn	illegal
i32	.	f32	illegal
i32	.	f64	illegal
i32	call	void	illegal
i32	call	i8	illegal
i32	call	i16	illegal
i32	call	i32	illegal
i32	call	i64	illegal
i32	call	u8	illegal
i32	call	u16	illegal
i32	call	u32	illegal
i32	call	u64	illegal
i32	call	ptr	illegal
i32	call	arr	illegal
i32	call	struct	illegal
i32	call	fn	illegal
i32	call	f32	illegal
i32	call	f64	illegal
i32	sizeof	void	i64
i32	sizeof	i8	i64
i32	sizeof	i16	i64
i32	sizeof	i32	i64
i32	sizeof	i64	i64
i32	sizeof	u8	i64
i32	sizeof	u16	i64
i32	sizeof	u32	i64
i32	sizeof	u64	i64
i32	sizeof	ptr	i64
i32	sizeof	arr	i64
i32	sizeof	struct	i64
i32	sizeof	fn	i64
i32	sizeof	f32	i64
i32	sizeof	f64	i64
i32	,	void	void
i32	,	i8	i8
i32	,	i16	i16
i32	,	i32	i32
i32	,	i64	i64
i32	,	u8	u8
i32	,	u16	u16
i32	,	u32	u32
i32	,	u64	u64
i32	,	ptr	ptr
i32	,	arr	arr
i32	,	struct	struct
i32	,	fn	fn
i32	,	f32	f32
i32	,	f64	f64
i32	un*	void	illegal
i32	un*	i8	illegal
i32	un*	i16	illegal
i32	un*	i32	illegal
i32	un*	i64	illegal
i32	un*	u8	illegal
i32	un*	u16	illegal
i32	un*	u32	illegal
i32	un*	u64	illegal
i32	un*	ptr	illegal
i32	un*	arr	illegal
i32	un*	struct	illegal
i32	un*	fn	illegal
i32	un*	f32	illegal
i32	un*	f64	illegal
i32	|	void	illegal
i32	|	i8	i32
i32	|	i16	i32
i32	|	i32	i32
i32	|	i64	i64
i32	|	u8	i32
i32	|	u16	i32
i32	|	u32	u32
i32	|	u64	u64
i32	|	ptr	illegal
i32	|	arr	illegal
i32	|	struct	illegal
i32	|	fn	illegal
i32	|	f32	illegal
i32	|	f64	illegal
i32	^	void	illegal
i32	^	i8	i32
i32	^	i16	i32
i32	^	i32	i32
i32	^	i64	i64
i32	^	u8	i32
i32	^	u16	i32
i32	^	u32	u32
i32	^	u64	u64
i32	^	ptr	illegal
i32	^	arr	illegal
i32	^	struct	illegal
i32	^	fn	illegal
i32	^	f32	illegal
i32	^	f64	illegal
i32	<<	void	illegal
i32	<<	i8	i32
i32	<<	i16	i32
