# stage peep: 1632 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	a	store64	load64	imm	mov	jump	jumpz	alu	other
#field	b	store64	load64	imm	mov	jump	jumpz	add64	sub64	mul64	shl64	shr64	lshr64	or64	xor64	and64	other	none
#field	rel	none	same_slot	same_slot_same_reg	const0	const1	pow2	copy_dead	to_next	to_jump	a_dead	dest_to_mov	copy_into
#head	y	-	keep	load_to_mov	drop_b	drop_a	retarget	to_mov	to_shl	fold_imm	retarget_dest	fold_copy
a	b	rel	=> y
mov	xor64	a_dead	drop_a
mov	xor64	dest_to_mov	keep
mov	xor64	copy_into	fold_copy
mov	and64	none	keep
mov	and64	same_slot	keep
mov	and64	same_slot_same_reg	keep
mov	and64	const0	keep
mov	and64	const1	keep
mov	and64	pow2	keep
mov	and64	copy_dead	keep
mov	and64	to_next	keep
mov	and64	to_jump	keep
mov	and64	a_dead	drop_a
mov	and64	dest_to_mov	keep
mov	and64	copy_into	fold_copy
mov	other	none	keep
mov	other	same_slot	keep
mov	other	same_slot_same_reg	keep
mov	other	const0	keep
mov	other	const1	keep
mov	other	pow2	keep
mov	other	copy_dead	keep
mov	other	to_next	keep
mov	other	to_jump	keep
mov	other	a_dead	drop_a
mov	other	dest_to_mov	keep
mov	other	copy_into	fold_copy
mov	none	none	keep
mov	none	same_slot	keep
mov	none	same_slot_same_reg	keep
mov	none	const0	keep
mov	none	const1	keep
mov	none	pow2	keep
mov	none	copy_dead	keep
mov	none	to_next	keep
mov	none	to_jump	keep
mov	none	a_dead	drop_a
mov	none	dest_to_mov	keep
mov	none	copy_into	keep
jump	store64	none	keep
jump	store64	same_slot	keep
jump	store64	same_slot_same_reg	keep
jump	store64	const0	keep
jump	store64	const1	keep
jump	store64	pow2	keep
jump	store64	copy_dead	keep
jump	store64	to_next	drop_a
jump	store64	to_jump	keep
jump	store64	a_dead	keep
jump	store64	dest_to_mov	keep
jump	store64	copy_into	keep
jump	load64	none	keep
jump	load64	same_slot	keep
jump	load64	same_slot_same_reg	keep
jump	load64	const0	keep
jump	load64	const1	keep
